archivo,nivel,categoria,texto
"voz/inicial-1-p.mp3","Inicial","ciencia","¿Cómo se llama el laboratorio de plantas de nuestra institución educativa? Opción 1: La biblioteca. Opción 2: CIEHS. Opción 3: El patio."
"voz/inicial-2-p.mp3","Inicial","agua","¿En qué crecen las plantas del CIEHS? Opción 1: En agua con nutrientes. Opción 2: Solo en tierra. Opción 3: En arena seca."
"voz/inicial-3-p.mp3","Inicial","clima","Cuidar el agua y las plantas ayuda a… Opción 1: Ensuciar el mar. Opción 2: Gastar más agua. Opción 3: Cuidar nuestro planeta."
"voz/inicial-4-p.mp3","Inicial","cultivo","¿Qué parte de la planta está debajo y bebe el agua? Opción 1: La raíz. Opción 2: La flor. Opción 3: La hoja."
"voz/inicial-5-p.mp3","Inicial","cultivo","¿De qué color son casi siempre las hojas de la lechuga? Opción 1: Azules. Opción 2: Moradas con lunares. Opción 3: Verdes."
"voz/inicial-6-p.mp3","Inicial","cultivo","¿Qué necesita una semilla para empezar a crecer? Opción 1: Agua. Opción 2: Oscuridad total para siempre. Opción 3: Piedras."
"voz/inicial-7-p.mp3","Inicial","ciencia","Cuando observamos una planta, ¿qué usamos? Opción 1: Solo la imaginación. Opción 2: Nuestros sentidos: vista, tacto y olfato. Opción 3: Nada, solo esperamos."
"voz/inicial-8-p.mp3","Inicial","agua","En el CIEHS, el agua que riega las plantas… Opción 1: Vuelve a usarse otra vez. Opción 2: Se tira al suelo. Opción 3: Se guarda un año."
"voz/inicial-9-p.mp3","Inicial","cultivo","¿Qué le pasa a una planta si nunca recibe luz? Opción 1: Crece más rápido. Opción 2: Se vuelve azul. Opción 3: Se pone débil y amarilla."
"voz/inicial-10-p.mp3","Inicial","cultivo","¿Cuál de estas plantas cultivamos en el CIEHS? Opción 1: Manzano. Opción 2: Cactus gigante. Opción 3: Lechuga."
"voz/inicial-11-p.mp3","Inicial","ciencia","Si quiero saber si mi planta creció, ¿qué hago? Opción 1: La mido y anoto lo que veo. Opción 2: La arranco. Opción 3: La escondo."
"voz/inicial-12-p.mp3","Inicial","clima","¿Cuál de estas cosas cuida el planeta? Opción 1: Dejar el caño abierto. Opción 2: Cerrar el caño mientras me enjabono. Opción 3: Tirar basura al mar."
"voz/inicial-13-p.mp3","Inicial","cultivo","¿Qué parte de la planta suele ser la más alta? Opción 1: El tallo. Opción 2: La semilla. Opción 3: La raíz."
"voz/inicial-14-p.mp3","Inicial","agua","Huanchaco está junto al… Opción 1: Bosque de pinos. Opción 2: Mar. Opción 3: Desierto de nieve."
"voz/inicial-15-p.mp3","Inicial","ciencia","Antes de sembrar, en el CIEHS primero… Opción 1: Rompemos las macetas. Opción 2: Nos vamos a casa. Opción 3: Exploramos y hacemos preguntas."
"voz/inicial-16-p.mp3","Inicial","cultivo","Las hojas de la planta sirven para… Opción 1: Sujetar la maceta. Opción 2: Guardar piedritas. Opción 3: Recibir la luz del sol."
"voz/inicial-17-p.mp3","Inicial","agua","¿Qué pasa si una planta recibe demasiada agua parada? Opción 1: Sus raíces se pueden pudrir. Opción 2: Crece el doble. Opción 3: No pasa nada."
"voz/inicial-18-p.mp3","Inicial","clima","Reciclar es… Opción 1: Comprar cosas nuevas siempre. Opción 2: Volver a usar las cosas en vez de tirarlas. Opción 3: Quemar la basura."
"voz/inicial-19-p.mp3","Inicial","ciencia","Un dibujo de lo que observo en la planta sirve para… Opción 1: Recordar cómo era y compararlo después. Opción 2: Nada. Opción 3: Decorar la pared nada más."
